SCALE,SCALE_IS_HEIGHT_DP,COMPRESSION_QUALITY,OUT_COMPRESSION,PLATFORM,UPSCALING_ALGO,DOWNSCALING_ALGO,ROUNDING_MODE,SKIP_UPSCALING,SKIP_EXISTING,ANDROID_INCLUDE_LDPI_TVDPI,VERBOSE,ANDROID_MIPMAP_INSTEAD_OF_DRAWABLE,ANTI_ALIASING,POST_PROCESSOR_PNG_CRUSH,POST_PROCESSOR_WEBP,DRY_RUN,POST_PROCESSOR_MOZ_JPEG,KEEP_ORIGINAL_POST_PROCESSED_FILES,IOS_CREATE_IMAGESET_FOLDERS,CLEAN,HALT_ON_ERROR,time
0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,26.71
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,10.88
0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,2.16
0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,2.19
0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,2.18
0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,2.19
0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,2.18
0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,12.48
0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,2.19
0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,9.33
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,25.72
1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,2.19
1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,5.61
0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,12.83
1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,5.36
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2.19
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,2.2
1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,165.24
0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,8.65
0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2.18
0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,9.39
1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2.16
0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,2.2
0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8.7
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,11.81
0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,2.2
0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,26.78
1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,2.18
0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,9.36
1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,62.54
0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,2.18
1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,2.17
0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,12.63
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2.2
1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,5.43
1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,81.19
0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,2.2
1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,5.57
1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2.2
0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,9.38
1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,3.48
1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,62.88
1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,63.95
1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,141.32
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,80.26
1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,2.19
1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,6.98
0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,2.2
1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,153.78
0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,2.16
1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,2.2
0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,2.18
0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,2.19
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,140.2
0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,12.6
0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,2.18
0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,10.76
1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,3.46
0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,2.17
0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,2.2
0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2.18
0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,2.19
1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,2.19
0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2.19
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,2.19
0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,2.18
1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,184.04
0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,2.18
1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,6.99
1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,65.35
1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,183.37
1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,2.19
0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,2.19
1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,2.18
0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,9.24
1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2.19
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,2.19
