IGNORECASE,INVERTMATCH,FIXEDSTRINGS,LINENUMBER,COUNT,MATCHINGFILES,WHOLELINE,time
0,0,0,1,0,0,0,2.955
0,0,0,0,0,0,1,2.956
0,0,1,0,0,0,0,2.957
0,0,0,0,1,0,0,3.82
0,0,0,0,0,1,0,3.764
0,1,0,0,0,0,0,2.91
1,0,0,0,0,0,0,2.98
