measured,configuration,config_crusher,config_crusher_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",61.624,0.0,62.317,1.487,59.951,64.684,true,0.693,0.011,0.48
"true","[]",4.775,0.0,4.464,0.123,4.267,4.66,false,0.311,0.07,0.097
"false","[CHECKSUM]",5.061,0.0,4.553,0.029,4.507,4.598,false,0.508,0.112,0.258
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL]",61.851,0.0,62.044,0.941,60.546,63.541,true,0.193,0.003,0.037
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.796,0.0,61.685,0.959,60.16,63.21,true,0.111,0.002,0.012
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.842,0.0,61.795,0.656,60.752,62.838,true,0.047,0.001,0.002
"true","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.863,0.0,62.376,0.623,61.385,63.368,true,0.513,0.008,0.263
"true","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",61.751,0.0,61.659,0.348,61.105,62.213,true,0.092,0.001,0.008
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",61.738,0.0,61.479,0.502,60.681,62.278,true,0.259,0.004,0.067
"false","[VERBOSE, ENTROPY]",4.812,0.0,4.686,0.058,4.594,4.778,false,0.126,0.027,0.016
"false","[FORCE, VERBOSE, LEVEL, ENTROPY]",61.704,0.0,61.71,1.107,59.948,63.472,true,0.006,0,0
"true","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.763,0.0,61.835,0.658,60.789,62.882,true,0.072,0.001,0.005
"true","[TRANSFORM, LEVEL, ENTROPY]",61.554,0.0,61.676,0.581,60.751,62.6,true,0.122,0.002,0.015
"false","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.359,0.0,61.914,0.652,60.876,62.952,true,0.445,0.007,0.198
"true","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.213,0.0,4.449,0.043,4.381,4.517,false,0.236,0.053,0.056
"false","[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.084,0.0,61.879,0.424,61.204,62.553,true,0.205,0.003,0.042
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.174,0.0,4.476,0.064,4.374,4.578,false,0.302,0.067,0.091
"false","[CHECKSUM, VERBOSE, ENTROPY]",4.857,0.0,4.775,0.094,4.626,4.924,true,0.082,0.017,0.007
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.194,0.0,4.495,0.047,4.421,4.57,false,0.301,0.067,0.091
"true","[FORCE, BLOCKSIZE, ENTROPY]",4.104,0.0,4.392,0.039,4.33,4.455,false,0.288,0.066,0.083
"false","[CHECKSUM, TRANSFORM, VERBOSE]",4.83,0.0,4.722,0.057,4.631,4.812,false,0.108,0.023,0.012
"false","[TRANSFORM, VERBOSE]",4.847,0.0,4.631,0.057,4.541,4.721,false,0.216,0.047,0.047
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.905,0.0,61.942,0.587,61.009,62.876,true,0.037,0.001,0.001
"true","[CHECKSUM, BLOCKSIZE, LEVEL]",62.265,0.0,61.619,0.536,60.766,62.471,true,0.646,0.01,0.417
"true","[BLOCKSIZE, LEVEL]",61.59,0.0,62.567,0.693,61.465,63.669,true,0.977,0.016,0.955
"true","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.942,0.0,61.695,0.303,61.213,62.177,true,0.247,0.004,0.061
"false","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",4.241,0.0,4.488,0.074,4.371,4.606,false,0.247,0.055,0.061
"false","[CHECKSUM, FORCE, VERBOSE, ENTROPY]",4.865,0.0,4.79,0.097,4.635,4.944,true,0.075,0.016,0.006
"false","[BLOCKSIZE, TRANSFORM, VERBOSE]",4.156,0.0,4.474,0.107,4.304,4.645,false,0.318,0.071,0.101
"true","[LEVEL]",61.343,0.0,61.073,0.635,60.062,62.084,true,0.27,0.004,0.073
"true","[BLOCKSIZE, ENTROPY]",4.154,0.0,4.445,0.084,4.311,4.579,false,0.291,0.065,0.085
"true","[FORCE]",4.746,0.0,4.519,0.076,4.398,4.64,false,0.227,0.05,0.052
"true","[CHECKSUM, LEVEL]",61.796,0.0,61.33,0.296,60.859,61.8,true,0.466,0.008,0.217
"false","[CHECKSUM, VERBOSE, LEVEL]",61.807,0.0,61.643,0.252,61.243,62.043,true,0.164,0.003,0.027
"true","[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",62.348,0.0,62.14,0.477,61.381,62.899,true,0.208,0.003,0.043
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM]",4.229,0.0,4.548,0.042,4.482,4.614,false,0.319,0.07,0.102
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.909,0.0,61.609,0.269,61.181,62.037,true,0.3,0.005,0.09
"false","[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.178,0.0,4.501,0.126,4.301,4.702,false,0.323,0.072,0.104
"true","[CHECKSUM, FORCE, TRANSFORM]",4.863,0.0,4.61,0.102,4.448,4.772,false,0.253,0.055,0.064
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",61.767,0.0,62.554,0.767,61.333,63.776,true,0.787,0.013,0.619
"true","[CHECKSUM, FORCE]",4.851,0.0,4.486,0.054,4.401,4.571,false,0.365,0.081,0.133
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",61.985,0.0,62.126,0.711,60.994,63.257,true,0.141,0.002,0.02
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL]",62.302,0.0,62.392,1.034,60.746,64.038,true,0.09,0.001,0.008
"true","[CHECKSUM, BLOCKSIZE]",4.192,0.0,4.446,0.072,4.331,4.561,false,0.254,0.057,0.065
"true","[TRANSFORM, ENTROPY]",4.852,0.0,4.497,0.079,4.371,4.623,false,0.355,0.079,0.126
"true","[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",61.822,0.0,61.272,0.331,60.745,61.798,false,0.55,0.009,0.303
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.217,0.0,4.526,0.045,4.454,4.598,false,0.309,0.068,0.095
"true","[FORCE, TRANSFORM, LEVEL]",61.847,0.0,61.705,0.678,60.626,62.783,true,0.142,0.002,0.02
"true","[CHECKSUM, VERBOSE]",5.073,0.0,4.74,0.088,4.6,4.879,false,0.333,0.07,0.111
"true","[BLOCKSIZE, TRANSFORM, ENTROPY]",4.166,0.0,4.452,0.111,4.275,4.629,false,0.286,0.064,0.082
"true","[FORCE, LEVEL]",62.097,0.0,61.043,0.443,60.338,61.749,false,1.054,0.017,1.111
"false","[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",61.618,0.0,61.561,0.121,61.368,61.754,true,0.057,0.001,0.003
"true","[FORCE, BLOCKSIZE, LEVEL]",62.298,0.0,61.553,0.411,60.899,62.207,false,0.745,0.012,0.555
"true","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.686,0.0,62.659,0.84,61.323,63.995,true,0.973,0.016,0.947
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.866,0.0,4.683,0.058,4.59,4.776,false,0.183,0.039,0.033
"false","[BLOCKSIZE, VERBOSE, ENTROPY]",4.166,0.0,4.455,0.076,4.335,4.576,false,0.289,0.065,0.084
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.785,0.0,62.294,0.333,61.764,62.823,true,0.509,0.008,0.259
"true","[CHECKSUM, FORCE, ENTROPY]",4.862,0.0,4.503,0.014,4.48,4.526,false,0.359,0.08,0.129
