measured,configuration,splat_delay,splat_delay_std,ground_truth,ground_truth_std,ground_truth_minci,ground_truth_maxci,1withinci,absolute error,relative error,squared error
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL]",61.849,0,62.317,1.487,59.951,64.684,true,0.468,0.008,0.219
"true","[]",4.484,0,4.464,0.123,4.267,4.66,true,0.02,0.004,0
"true","[CHECKSUM]",4.432,0,4.553,0.029,4.507,4.598,false,0.121,0.027,0.015
"false","[FORCE, TRANSFORM, VERBOSE, LEVEL]",61.824,0,62.044,0.941,60.546,63.541,true,0.22,0.004,0.048
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.77,0,61.685,0.959,60.16,63.21,true,0.085,0.001,0.007
"true","[BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",62.545,0,61.795,0.656,60.752,62.838,true,0.75,0.012,0.562
"false","[FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.738,0,62.376,0.623,61.385,63.368,true,0.638,0.01,0.407
"true","[CHECKSUM, TRANSFORM, LEVEL, ENTROPY]",60.812,0,61.659,0.348,61.105,62.213,false,0.847,0.014,0.717
"false","[CHECKSUM, FORCE, VERBOSE, LEVEL, ENTROPY]",63.59,0,61.479,0.502,60.681,62.278,false,2.111,0.034,4.456
"true","[VERBOSE, ENTROPY]",4.569,0,4.686,0.058,4.594,4.778,false,0.117,0.025,0.014
"false","[FORCE, VERBOSE, LEVEL, ENTROPY]",61.297,0,61.71,1.107,59.948,63.472,true,0.413,0.007,0.171
"false","[CHECKSUM, FORCE, BLOCKSIZE, LEVEL, ENTROPY]",61.712,0,61.835,0.658,60.789,62.882,true,0.123,0.002,0.015
"true","[TRANSFORM, LEVEL, ENTROPY]",61.605,0,61.676,0.581,60.751,62.6,true,0.071,0.001,0.005
"true","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",63.321,0,61.914,0.652,60.876,62.952,false,1.407,0.023,1.98
"false","[CHECKSUM, FORCE, BLOCKSIZE, ENTROPY]",4.577,0,4.449,0.043,4.381,4.517,false,0.128,0.029,0.016
"true","[BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",62.657,0,61.879,0.424,61.204,62.553,false,0.778,0.013,0.605
"false","[FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.556,0,4.476,0.064,4.374,4.578,true,0.08,0.018,0.006
"true","[CHECKSUM, VERBOSE, ENTROPY]",4.887,0,4.775,0.094,4.626,4.924,true,0.112,0.023,0.013
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.576,0,4.495,0.047,4.421,4.57,false,0.081,0.018,0.007
"false","[FORCE, BLOCKSIZE, ENTROPY]",4.481,0,4.392,0.039,4.33,4.455,false,0.089,0.02,0.008
"true","[CHECKSUM, TRANSFORM, VERBOSE]",4.677,0,4.722,0.057,4.631,4.812,true,0.045,0.01,0.002
"true","[TRANSFORM, VERBOSE]",4.72,0,4.631,0.057,4.541,4.721,true,0.089,0.019,0.008
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.797,0,61.942,0.587,61.009,62.876,true,0.145,0.002,0.021
"true","[CHECKSUM, BLOCKSIZE, LEVEL]",62.473,0,61.619,0.536,60.766,62.471,false,0.854,0.014,0.729
"true","[BLOCKSIZE, LEVEL]",61.222,0,62.567,0.693,61.465,63.669,false,1.345,0.021,1.809
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL]",61.812,0,61.695,0.303,61.213,62.177,true,0.117,0.002,0.014
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, VERBOSE]",4.584,0,4.488,0.074,4.371,4.606,true,0.096,0.021,0.009
"false","[CHECKSUM, FORCE, VERBOSE, ENTROPY]",4.887,0,4.79,0.097,4.635,4.944,true,0.097,0.02,0.009
"true","[BLOCKSIZE, TRANSFORM, VERBOSE]",4.527,0,4.474,0.107,4.304,4.645,true,0.053,0.012,0.003
"true","[LEVEL]",60.644,0,61.073,0.635,60.062,62.084,true,0.429,0.007,0.184
"true","[BLOCKSIZE, ENTROPY]",4.481,0,4.445,0.084,4.311,4.579,true,0.036,0.008,0.001
"false","[FORCE]",4.484,0,4.519,0.076,4.398,4.64,true,0.035,0.008,0.001
"true","[CHECKSUM, LEVEL]",60.604,0,61.33,0.296,60.859,61.8,false,0.726,0.012,0.527
"true","[CHECKSUM, VERBOSE, LEVEL]",61.73,0,61.643,0.252,61.243,62.043,true,0.087,0.001,0.008
"true","[CHECKSUM, BLOCKSIZE, LEVEL, ENTROPY]",61.712,0,62.14,0.477,61.381,62.899,true,0.428,0.007,0.183
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM]",4.378,0,4.548,0.042,4.482,4.614,false,0.17,0.037,0.029
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL]",61.77,0,61.609,0.269,61.181,62.037,true,0.161,0.003,0.026
"true","[BLOCKSIZE, TRANSFORM, VERBOSE, ENTROPY]",4.556,0,4.501,0.126,4.301,4.702,true,0.055,0.012,0.003
"false","[CHECKSUM, FORCE, TRANSFORM]",4.556,0,4.61,0.102,4.448,4.772,true,0.054,0.012,0.003
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE, LEVEL, ENTROPY]",63.321,0,62.554,0.767,61.333,63.776,true,0.767,0.012,0.588
"false","[CHECKSUM, FORCE]",4.432,0,4.486,0.054,4.401,4.571,true,0.054,0.012,0.003
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",63.399,0,62.126,0.711,60.994,63.257,false,1.273,0.02,1.621
"false","[FORCE, BLOCKSIZE, VERBOSE, LEVEL]",62.492,0,62.392,1.034,60.746,64.038,true,0.1,0.002,0.01
"true","[CHECKSUM, BLOCKSIZE]",4.391,0,4.446,0.072,4.331,4.561,true,0.055,0.012,0.003
"true","[TRANSFORM, ENTROPY]",4.509,0,4.497,0.079,4.371,4.623,true,0.012,0.003,0
"false","[CHECKSUM, FORCE, TRANSFORM, LEVEL, ENTROPY]",60.812,0,61.272,0.331,60.745,61.798,true,0.46,0.008,0.212
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE]",4.584,0,4.526,0.045,4.454,4.598,true,0.058,0.013,0.003
"false","[FORCE, TRANSFORM, LEVEL]",61.061,0,61.705,0.678,60.626,62.783,true,0.644,0.01,0.415
"true","[CHECKSUM, VERBOSE]",4.642,0,4.74,0.088,4.6,4.879,true,0.098,0.021,0.01
"true","[BLOCKSIZE, TRANSFORM, ENTROPY]",4.516,0,4.452,0.111,4.275,4.629,true,0.064,0.014,0.004
"false","[FORCE, LEVEL]",60.644,0,61.043,0.443,60.338,61.749,true,0.399,0.007,0.159
"true","[CHECKSUM, VERBOSE, LEVEL, ENTROPY]",63.59,0,61.561,0.121,61.368,61.754,false,2.029,0.033,4.117
"false","[FORCE, BLOCKSIZE, LEVEL]",61.222,0,61.553,0.411,60.899,62.207,true,0.331,0.005,0.11
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",62.454,0,62.659,0.84,61.323,63.995,true,0.205,0.003,0.042
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE]",4.677,0,4.683,0.058,4.59,4.776,true,0.006,0.001,0
"true","[BLOCKSIZE, VERBOSE, ENTROPY]",4.482,0,4.455,0.076,4.335,4.576,true,0.027,0.006,0.001
"true","[CHECKSUM, BLOCKSIZE, TRANSFORM, LEVEL]",61.797,0,62.294,0.333,61.764,62.823,true,0.497,0.008,0.247
"false","[CHECKSUM, FORCE, ENTROPY]",4.636,0,4.503,0.014,4.48,4.526,false,0.133,0.03,0.018
"true","[CHECKSUM, TRANSFORM, VERBOSE, LEVEL]",61.849,0,61.826,0.258,61.415,62.237,true,0.023,0,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM]",4.378,0,4.426,0.053,4.343,4.51,true,0.048,0.011,0.002
"false","[CHECKSUM, FORCE, BLOCKSIZE, VERBOSE]",4.473,0,4.501,0.081,4.373,4.629,true,0.028,0.006,0.001
"false","[CHECKSUM, FORCE, TRANSFORM, VERBOSE, LEVEL, ENTROPY]",61.57,0,62.094,1.102,60.34,63.848,true,0.524,0.008,0.275
"false","[FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",62.493,0,61.987,0.951,60.474,63.5,true,0.506,0.008,0.256
"true","[TRANSFORM, VERBOSE, ENTROPY]",4.634,0,4.66,0.026,4.619,4.701,true,0.026,0.006,0.001
"false","[CHECKSUM, FORCE, BLOCKSIZE, TRANSFORM, LEVEL, ENTROPY]",63.399,0,61.443,0.277,61.002,61.883,false,1.956,0.032,3.826
"true","[CHECKSUM, BLOCKSIZE, VERBOSE, LEVEL]",62.073,0,62.073,0.915,60.617,63.528,true,0,0,0
"true","[CHECKSUM, LEVEL, ENTROPY]",60.794,0,61.289,0.4,60.652,61.926,true,0.495,0.008,0.245
"true","[LEVEL, ENTROPY]",61.562,0,61.597,0.622,60.607,62.586,true,0.035,0.001,0.001
