BASE,OVERLOADED,WEIGHT,EMPTY,TWOTHIRDSFULL,EXECUTIVEFLOOR,time
1,0,0,1,0,0,11.166
1,0,1,0,0,0,21.222
1,0,0,0,0,1,17.639
1,0,1,1,0,0,32.391
1,0,0,0,0,0,0.012
1,0,0,1,0,1,29.016
1,0,1,0,1,0,21.199
1,0,1,0,0,1,38.904
1,1,1,0,0,0,23.767
