VERBOSE,FORCE,BLOCKSIZE,LEVEL,ENTROPY,TRANSFORM,CHECKSUM,time
0,1,0,0,0,1,0,4.352
0,0,1,0,1,0,0,4.481
0,0,1,0,0,0,1,4.391
1,0,0,0,0,1,0,4.72
0,0,0,1,0,0,0,60.644
0,0,0,0,0,0,1,4.432
0,0,0,0,1,0,0,4.364
1,0,0,0,0,0,0,4.653
0,0,0,1,0,1,0,61.061
0,1,0,1,0,0,0,60.468
1,0,0,0,0,0,1,4.642
0,0,0,0,0,1,0,4.568
0,1,0,0,1,0,0,4.537
1,0,1,0,0,0,0,4.333
0,0,0,0,1,0,1,4.636
0,0,0,0,1,1,0,4.509
0,0,1,0,0,0,0,4.575
0,1,1,0,0,0,0,4.573
0,0,0,0,0,0,0,4.484
1,0,0,0,1,0,0,4.569
1,0,0,1,0,0,0,60.666
0,1,0,0,0,0,0,4.448
0,0,0,1,1,0,0,61.562
0,0,1,1,0,0,0,61.222
0,0,1,0,0,1,0,4.385
0,0,0,1,0,0,1,60.604
0,0,0,0,0,1,1,4.556
0,1,0,0,0,0,1,4.432
1,1,0,0,0,0,0,4.735
