measured,configuration,performance,std,minci,maxci
true,"[FIXEDSTRINGS, LINENUMBER]",2.989,0.015,2.966,3.012
true,"[MATCHINGFILES, IGNORECASE]",2.492,0.044,2.423,2.562
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.345,0.014,2.324,2.367
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.34,0.011,2.323,2.357
true,"[INVERTMATCH, LINENUMBER]",2.936,0.031,2.887,2.985
true,"[LINENUMBER]",2.943,0.038,2.883,3.004
true,"[INVERTMATCH, WHOLELINE, LINENUMBER]",2.917,0.02,2.886,2.948
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.106,0.03,3.059,3.154
true,"[FIXEDSTRINGS, COUNT, LINENUMBER]",3.11,0.036,3.053,3.166
true,"[FIXEDSTRINGS, INVERTMATCH, IGNORECASE]",2.925,0.027,2.882,2.969
true,"[INVERTMATCH, WHOLELINE, MATCHINGFILES]",2.341,0.015,2.318,2.365
true,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",23.335,0.566,22.434,24.236
true,"[COUNT, LINENUMBER]",3.862,0.072,3.748,3.976
true,"[COUNT, LINENUMBER, MATCHINGFILES]",3.841,0.019,3.811,3.871
true,"[INVERTMATCH, COUNT, LINENUMBER]",3.85,0.039,3.788,3.911
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES]",3.056,0.042,2.99,3.122
true,"[]",2.94,0.041,2.874,3.005
true,"[FIXEDSTRINGS, MATCHINGFILES, IGNORECASE]",3.792,0.184,3.499,4.084
true,"[WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",11.718,1.412,9.471,13.966
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.104,0.036,3.047,3.161
true,"[FIXEDSTRINGS, COUNT]",3.089,0.032,3.038,3.141
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.35,0.009,2.335,2.365
true,"[WHOLELINE, MATCHINGFILES]",3.175,0.039,3.114,3.236
true,"[FIXEDSTRINGS, WHOLELINE, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.046,0.035,2.991,3.101
true,"[INVERTMATCH, COUNT, IGNORECASE]",23.217,0.551,22.34,24.093
true,"[INVERTMATCH, WHOLELINE, MATCHINGFILES, IGNORECASE]",2.335,0.013,2.314,2.355
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER]",3.079,0.036,3.022,3.137
true,"[FIXEDSTRINGS, WHOLELINE, MATCHINGFILES, IGNORECASE]",3.054,0.018,3.026,3.083
true,"[LINENUMBER, IGNORECASE]",2.95,0.051,2.868,3.032
true,"[WHOLELINE, COUNT, MATCHINGFILES]",3.135,0.029,3.089,3.181
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT]",3.104,0.048,3.028,3.181
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES]",3.114,0.024,3.076,3.152
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, IGNORECASE]",3.911,0.047,3.837,3.986
true,"[WHOLELINE, COUNT, IGNORECASE]",12.127,0.909,10.68,13.574
true,"[FIXEDSTRINGS, IGNORECASE]",2.926,0.031,2.876,2.976
true,"[COUNT, IGNORECASE]",22.295,1.463,19.967,24.622
true,"[WHOLELINE, LINENUMBER]",2.916,0.006,2.906,2.927
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",3.079,0.032,3.028,3.13
true,"[WHOLELINE, IGNORECASE]",2.911,0.027,2.868,2.953
true,"[FIXEDSTRINGS, COUNT, MATCHINGFILES]",3.108,0.053,3.024,3.193
true,"[FIXEDSTRINGS, INVERTMATCH, LINENUMBER, MATCHINGFILES]",2.333,0.016,2.307,2.359
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, IGNORECASE]",3.069,0.025,3.029,3.109
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.093,0.023,3.057,3.129
true,"[INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",22.873,0.382,22.266,23.48
true,"[INVERTMATCH, WHOLELINE, COUNT, MATCHINGFILES]",3.347,0.263,2.929,3.765
true,"[FIXEDSTRINGS, INVERTMATCH, WHOLELINE, COUNT, LINENUMBER]",3.09,0.021,3.056,3.124
true,"[COUNT, MATCHINGFILES]",3.861,0.043,3.793,3.929
true,"[INVERTMATCH, WHOLELINE, LINENUMBER, MATCHINGFILES]",2.341,0.004,2.334,2.347
true,"[INVERTMATCH, COUNT, LINENUMBER, MATCHINGFILES]",3.926,0.081,3.798,4.054
true,"[INVERTMATCH, WHOLELINE, COUNT, IGNORECASE]",11.925,0.849,10.573,13.276
true,"[FIXEDSTRINGS, WHOLELINE]",2.919,0.011,2.902,2.936
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES, IGNORECASE]",3.081,0.037,3.022,3.14
true,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES]",2.352,0.012,2.332,2.371
true,"[LINENUMBER, MATCHINGFILES, IGNORECASE]",2.502,0.019,2.472,2.532
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, LINENUMBER, IGNORECASE]",3.937,0.082,3.805,4.068
true,"[INVERTMATCH, WHOLELINE, COUNT, LINENUMBER, MATCHINGFILES, IGNORECASE]",11.259,1.045,9.595,12.922
true,"[INVERTMATCH, LINENUMBER, MATCHINGFILES, IGNORECASE]",2.348,0.01,2.332,2.365
true,"[FIXEDSTRINGS, INVERTMATCH, MATCHINGFILES, IGNORECASE]",2.353,0.008,2.339,2.366
true,"[COUNT]",3.874,0.1,3.715,4.033
true,"[FIXEDSTRINGS, WHOLELINE, COUNT]",3.046,0.019,3.017,3.076
true,"[FIXEDSTRINGS, INVERTMATCH, COUNT, MATCHINGFILES, IGNORECASE]",3.905,0.06,3.809,4.001
true,"[FIXEDSTRINGS, LINENUMBER, IGNORECASE]",2.897,0.018,2.869,2.926
true,"[FIXEDSTRINGS, WHOLELINE, COUNT, MATCHINGFILES]",3.076,0.034,3.022,3.129
true,"[INVERTMATCH, IGNORECASE]",2.922,0.02,2.89,2.954
true,"[INVERTMATCH, COUNT]",3.849,0.032,3.798,3.901
true,"[FIXEDSTRINGS, WHOLELINE, IGNORECASE]",2.924,0.009,2.91,2.938
